transaction_id,timestamp,phone_hash,bank,account_id,transaction_type,amount,direction,beneficiary_merchant,atm_id,city,channel,fraud_label
TXN-0000001,2023-09-30 17:33:01,00a71b9173bb5db2,Yes,AC-314650,ATM_WITHDRAWAL,10000,debit,,ATM-01358,Ahmedabad,ATM,no
TXN-0000002,2021-08-11 11:20:37,9c0e1294f6170369,Union,AC-910288,UPI,82257.81,credit,Flipkart,,Ahmedabad,online,no
TXN-0000003,2023-05-30 09:19:12,6ca839dabb103351,HDFC,AC-876926,NET_BANKING,131873.9,credit,Zomato,,Hyderabad,online,no
TXN-0000004,2020-05-16 04:57:40,4f5221e93f5affbf,Axis,AC-729904,NET_BANKING,87049.87,credit,Netflix,,Mumbai,online,no
TXN-0000005,2022-03-27 06:40:03,87f615b8527daaf1,SBI,AC-980689,RTGS,112676.97,credit,PhonePe,,Kolkata,online,no
TXN-0000006,2023-08-07 03:25:25,285dac625234ead8,Yes,AC-414237,NEFT,122724.35,debit,Zomato,,Coimbatore,online,no
TXN-0000007,2024-06-22 19:58:12,b99a421fd8700f0e,Yes,AC-169820,NET_BANKING,116617.01,debit,Croma,,Coimbatore,online,no
TXN-0000008,2023-04-10 15:52:45,146774c952160880,Canara,AC-264753,NET_BANKING,50350.65,credit,Amazon,,Delhi,online,no
TXN-0000009,2023-07-08 05:26:49,890a3b551a0b3abc,Canara,AC-619254,UPI,54924.45,credit,Paytm,,Delhi,online,no
TXN-0000010,2024-07-14 02:32:01,9d6f3b17a2f2f9d1,Yes,AC-808846,NET_BANKING,132671.57,credit,Swiggy,,Mumbai,online,no
TXN-0000011,2022-08-20 09:46:28,0b2d7ced4bff839f,Union,AC-123643,NET_BANKING,105988.29,credit,BigBasket,,Kolkata,online,no
TXN-0000012,2021-08-05 19:37:43,ac91548f726b5406,Kotak,AC-968672,NEFT,1859.1,debit,Zomato,,Pune,online,no
TXN-0000013,2023-03-26 09:39:50,fc87b4a3907350a3,Canara,AC-492727,RTGS,115688.1,debit,PhonePe,,Surat,online,no
TXN-0000014,2021-06-05 10:59:47,acad1d1c8a85ba3c,Axis,AC-286569,POS,125294.36,debit,Amazon,,Mumbai,POS,no
TXN-0000015,2024-06-17 23:48:59,0914aa4a88454763,SBI,AC-612865,UPI,147812.32,credit,Amazon,,Coimbatore,online,no
TXN-0000016,2022-06-30 01:46:38,73ef4899b56277a8,Union,AC-837615,POS,171913.14,debit,Paytm,,Coimbatore,POS,no
TXN-0000017,2020-12-05 15:33:49,2f26a79a7f56c048,Kotak,AC-128987,ATM_WITHDRAWAL,20000,debit,,ATM-01437,Ahmedabad,ATM,no
TXN-0000018,2024-07-03 01:41:26,acad1d1c8a85ba3c,Axis,AC-675440,POS,121876.89,credit,Zomato,,Lucknow,POS,no
TXN-0000019,2022-09-19 18:02:17,060c532730919f1a,ICICI,AC-967870,RTGS,157603.51,credit,Swiggy,,Indore,online,no
TXN-0000020,2022-07-22 12:00:06,de118e6a6d86dc40,Axis,AC-907264,IMPS,94649.77,credit,Razorpay,,Kolkata,online,no
TXN-0000021,2024-03-26 03:49:17,e9fa9d375ae3359e,BOB,AC-853468,NET_BANKING,72886.81,debit,DMart,,Chennai,online,no
TXN-0000022,2024-02-06 14:24:36,c6f2b30aafc5f2e1,HDFC,AC-439798,NEFT,153342.62,debit,Amazon,,Lucknow,online,no
TXN-0000023,2021-02-12 14:31:22,e879a6b0cf261d91,Yes,AC-121923,CASH_DEPOSIT,12576.8,debit,,,Indore,online,no
